Location,Non_Indigenous,First_Nations,Inuit,Métis
Canada,34124000,1426950,82010,560335
Newfoundland and Labrador,443310,40415,10245,6715
Prince Edward Island,144930,3755,255,915
Nova Scotia,890045,40715,1860,18310
New Brunswick,712025,31850,1025,9445
Quebec,13511270,288525,18025,44275
Ontario,13511270,332555,6290,131775
Manitoba,1067780,140250,1150,88300
Saskatchewan,912150,129225,715,56055
Alberta,3854700,188315,4235,115455
British Columbia,4604060,209320,2340,85205
Yukon,34835,7405,335,1235
Northwest Territories,20280,14005,4680,2525
Nunavut,5250,610,30855,125